"","BpS_Name","refLabel","refCur","Percent"
"105","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","B","refPercent",11
"106","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","B","currentPercent",5
"107","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","B","refPercent",11
"108","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","B","currentPercent",3
"109","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","C","refPercent",21
"110","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","C","currentPercent",18
"111","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","C","refPercent",21
"112","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","C","currentPercent",20
"113","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","D","refPercent",54
"114","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","D","currentPercent",70
"115","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","D","refPercent",54
"116","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","D","currentPercent",67
"117","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","E","refPercent",NA
"118","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","E","currentPercent",NA
"119","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Agriculture","refPercent",0
"120","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Agriculture","currentPercent",1
"121","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Agriculture","refPercent",0
"122","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Agriculture","currentPercent",0
"123","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Developed","refPercent",0
"124","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Developed","currentPercent",2
"125","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Developed","refPercent",0
"126","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Developed","currentPercent",0
"127","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Water","refPercent",0
"128","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Water","currentPercent",NA
"129","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","UN","refPercent",0
